timestamp,island_id,category_input,category_final,generation_time,total_time,status
2025-11-19 09:45:57,,,,0.0,0.0,error
2025-11-19 09:51:04,2,dansaekhwa,dansaekhwa,18.07,20.01,success
2025-11-19 09:51:29,2,monet,monet,34.11,35.76,success
2025-11-19 09:52:16,2,vangogh,vangogh,18.07,19.78,success
2025-11-19 09:52:39,2,pollock,pollock,16.06,17.69,success
2025-11-19 09:53:02,2,origami,origami,14.06,15.67,success
2025-11-19 09:53:28,2,klimt,klimt,12.05,13.17,success
2025-11-19 09:53:46,2,autumn,autumn,12.05,13.75,success
2025-11-19 10:00:34,2,winter,winter,14.06,15.8,success
2025-11-19 10:00:58,2,camellia,camellia,16.17,17.79,success
2025-11-19 10:01:25,2,cherry,cherry,12.06,13.79,success
2025-11-19 10:01:52,2,hydragea,hydragea,18.05,19.07,success
2025-11-19 10:02:19,2,canola,canola,14.06,15.67,success
2025-11-19 10:06:04,2,constellation,constellation,14.08,15.8,success
2025-11-19 10:09:26,2,autumn,autumn,12.06,13.82,success
2025-11-19 10:39:54,2,autumn,autumn,20.07,21.98,success
2025-11-19 10:42:31,2,autumn,autumn,10.05,11.64,success
2025-11-19 10:43:07,2,autumn,autumn,10.05,11.68,success
2025-11-19 10:44:20,2,cherry,cherry,12.06,13.71,success
2025-11-19 10:53:34,2,cherry,cherry,10.06,11.76,success
2025-11-19 10:53:55,2,sumuk,sumuk,12.15,13.68,success
2025-11-19 10:57:29,2,entertainment,entertainment,46.11,47.83,success
2025-11-19 10:58:30,2,canola,canola,18.06,19.69,success
2025-11-19 11:02:10,2,canola,canola,12.05,13.61,success
2025-11-19 11:03:55,2,camellia,camellia,16.06,18.08,success
2025-11-19 11:05:24,2,canola,canola,12.05,13.67,success
2025-11-19 11:06:07,2,camellia,camellia,16.07,17.67,success
2025-11-19 11:10:52,2,camellia,camellia,16.06,17.85,success
2025-11-19 11:12:32,2,canola,canola,12.06,13.68,success
2025-11-19 11:13:52,2,canola,canola,12.06,13.63,success
2025-11-19 11:17:37,2,dansaekhwa,dansaekhwa,10.05,11.6,success
2025-11-19 11:18:49,2,kimhongdo,kimhongdo,0.01,1.89,success
2025-11-19 11:37:42,2,canola,canola,12.05,14.13,success
2025-11-19 11:40:58,2,canola,canola,12.05,13.7,success
2025-11-19 11:42:52,2,canola,canola,12.09,13.69,success
2025-11-19 11:44:01,2,cherry,cherry,12.06,13.73,success
2025-11-19 11:45:17,2,canola,canola,12.09,13.64,success
2025-11-19 11:47:06,2,cherry,cherry,10.05,11.69,success
2025-11-19 11:47:26,2,cherry,cherry,10.03,11.6,success
2025-11-19 11:48:08,2,constellation,constellation,14.05,15.58,success
2025-11-19 12:11:42,2,cherry,cherry,12.06,13.82,success
2025-11-19 12:41:17,2,cherry,cherry,10.06,12.32,success
2025-11-19 12:42:45,2,cherry,cherry,10.05,11.68,success
2025-11-19 12:46:38,114,nature,hydragea,18.06,19.23,success
2025-11-19 12:57:12,148,nature,hydragea,12.05,13.26,success
2025-11-19 14:06:38,16,nature,hydragea,12.04,16.06,success
2025-11-19 14:18:06,163,nature,hydragea,12.05,13.34,success
2025-11-19 14:29:24,2,art,dansaekhwa,14.05,15.79,success
2025-11-19 14:31:52,2,art,monet,36.12,37.79,success
2025-11-19 14:33:37,2,nature,autumn,16.23,17.84,success
2025-11-19 14:34:49,2,canola,canola,12.05,13.64,success
2025-11-19 14:38:23,2,canola,canola,12.05,13.63,success
2025-11-19 14:41:45,2,canola,canola,12.05,13.63,success
2025-11-19 14:43:33,2,canola,canola,12.05,13.69,success
2025-11-19 14:45:19,2,art,vangogh,14.07,15.71,success
2025-11-19 15:56:27,2,dansaekhwa,dansaekhwa,12.08,13.93,success
2025-11-19 15:56:46,2,monet,monet,32.08,33.67,success
2025-11-19 15:57:49,2,vangogh,vangogh,16.05,18.36,success
2025-11-19 15:58:21,2,pollock,pollock,14.1,15.85,success
2025-11-19 15:58:47,2,origami,origami,12.05,13.65,success
2025-11-19 15:59:20,2,klimt,klimt,12.04,13.03,success
2025-11-19 15:59:39,2,autumn,autumn,12.06,13.68,success
2025-11-19 16:00:09,2,winter,winter,14.05,16.4,success
2025-11-19 16:00:45,2,camellia,camellia,16.05,17.8,success
2025-11-19 16:01:19,2,cherry,cherry,10.04,11.73,success
2025-11-19 16:01:54,2,hydragea,hydragea,14.05,15.1,success
2025-11-19 16:02:19,2,canola,canola,12.05,13.67,success
2025-11-19 16:02:47,2,constellation,constellation,14.06,15.55,success
2025-11-19 16:03:17,2,sumuk,sumuk,12.05,13.6,success
2025-11-19 16:03:37,2,entertainment,entertainment,38.1,39.77,success
2025-11-19 16:04:25,2,landscape,landscape,12.05,13.75,success
2025-11-19 16:05:12,2,wave,wave,12.05,13.66,success
2025-11-19 16:05:49,2,fantasy,fantasy,36.28,38.14,success
2025-11-19 16:06:35,2,kimhongdo,kimhongdo,0.01,1.17,success
2025-11-19 16:06:41,2,sinyunbok,sinyunbok,32.09,33.78,success
2025-11-19 16:07:22,2,jasu,jasu,26.07,27.78,success
2025-11-19 16:08:02,2,baekja,baekja,10.05,11.07,success
2025-11-19 16:08:28,2,traditional,traditional,10.05,11.71,success
2025-11-19 16:08:51,2,jage,jage,12.06,13.66,success
2025-11-19 16:31:45,2,nature,winter,12.05,13.7,success
2025-11-19 16:32:49,75,nature,hydragea,14.05,15.14,success
2025-11-19 16:33:39,135,nature,canola,12.04,13.68,success
2025-11-19 16:34:39,4,nature,winter,12.06,13.73,success
2025-11-19 16:35:41,152,nature,winter,10.05,11.7,success
2025-11-19 16:37:21,2,nature,hydragea,14.05,15.09,success
2025-11-19 16:38:22,2,hydragea,hydragea,12.1,13.07,success
2025-11-19 16:39:20,2,art,dansaekhwa,10.05,11.61,success
2025-11-19 16:40:31,2,dansaekhwa,dansaekhwa,8.04,9.61,success
2025-11-19 16:41:29,2,autumn,autumn,10.13,11.76,success
2025-11-19 16:42:48,2,camellia,camellia,16.05,17.63,success
2025-11-19 16:43:27,2,autumn,autumn,10.04,11.71,success
2025-11-19 16:44:48,2,cherry,cherry,10.05,11.72,success
2025-11-19 16:45:31,2,cherry,cherry,10.04,11.71,success
2025-11-19 16:46:29,2,hydragea,hydragea,14.06,15.16,success
2025-11-19 16:46:47,2,canola,canola,12.05,13.67,success
2025-11-19 16:48:46,2,autumn,autumn,10.18,11.81,success
2025-11-19 16:49:17,2,winter,winter,12.05,13.63,success
2025-11-19 16:49:33,2,taste,wave,12.05,13.68,success
2025-11-19 16:50:00,2,heritage,jage,12.06,13.6,success
2025-11-19 16:54:31,2,heritage,traditional,10.04,11.99,success
2025-11-19 16:56:42,2,heritage,jage,12.1,13.65,success
2025-11-19 16:59:02,2,cherry,cherry,12.05,13.79,success
2025-11-19 17:00:41,2,cherry,cherry,10.05,12.55,success
2025-11-19 17:01:49,2,cherry,cherry,10.05,11.75,success
2025-11-19 17:03:35,2,cherry,cherry,10.07,11.74,success
2025-11-19 17:03:55,2,cherry,cherry,10.05,11.72,success
2025-11-19 17:05:39,2,cherry,cherry,10.05,11.74,success
2025-11-19 17:06:35,2,cherry,cherry,10.05,11.71,success
2025-11-19 17:07:00,2,cherry,cherry,10.21,11.83,success
2025-11-19 17:09:05,2,cherry,cherry,10.06,12.3,success
2025-11-19 17:10:38,2,cherry,cherry,10.06,11.66,success
2025-11-19 17:13:18,2,cherry,cherry,10.06,11.68,success
2025-11-19 17:15:33,2,cherry,cherry,10.05,11.63,success
2025-11-19 17:16:29,2,hydragea,hydragea,14.05,15.05,success
2025-11-19 17:17:51,2,autumn,autumn,10.3,11.92,success
2025-11-19 17:24:55,2,hydragea,hydragea,14.05,15.15,success
2025-11-19 17:25:13,2,cherry,cherry,12.05,13.62,success
2025-11-19 17:30:42,2,cherry,cherry,10.05,11.88,success
2025-11-19 17:31:37,2,constellation,constellation,14.06,15.69,success
2025-11-19 17:32:09,2,kimhongdo,kimhongdo,0.01,1.61,success
2025-11-19 17:34:32,148,kimhongdo,kimhongdo,0.02,1.71,success
2025-11-19 17:35:43,148,kimhongdo,kimhongdo,0.0,1.67,success
2025-11-19 17:36:23,148,cherry,cherry,10.11,11.72,success
2025-11-19 17:36:55,148,kimhongdo,kimhongdo,0.0,1.71,success
2025-11-19 17:37:14,148,cherry,cherry,10.05,11.71,success
2025-11-19 17:37:45,148,taste,sumuk,10.3,11.88,success
2025-11-19 17:39:03,148,art,monet,34.13,35.75,success
2025-11-19 17:40:07,148,pollock,pollock,16.07,17.74,success
2025-11-19 17:40:53,148,origami,origami,12.06,13.76,success
2025-11-19 17:41:41,148,pollock,pollock,12.05,13.54,success
2025-11-19 17:42:48,148,sumuk,sumuk,12.05,13.57,success
2025-11-19 17:43:33,148,wave,wave,12.06,13.73,success
2025-11-19 17:50:55,227,nature,camellia,16.06,17.99,success
2025-11-19 17:51:35,337,nature,autumn,10.17,11.82,success
2025-11-19 17:52:05,148,autumn,autumn,10.05,11.67,success
2025-11-19 17:52:32,330,nature,winter,14.06,15.67,success
2025-11-19 17:52:59,330,nature,hydragea,14.05,15.14,success
2025-11-19 17:54:36,148,constellation,constellation,14.06,15.64,success
2025-11-19 17:56:41,148,autumn,autumn,10.05,11.67,success
2025-11-19 17:57:10,148,camellia,camellia,16.06,17.68,success
2025-11-19 17:57:30,148,cherry,cherry,10.06,12.03,success
2025-11-19 17:57:45,148,hydragea,hydragea,14.05,15.12,success
2025-11-19 17:58:19,148,cherry,cherry,12.06,13.69,success
2025-11-19 17:58:47,148,canola,canola,12.05,13.72,success
2025-11-19 17:59:11,148,hydragea,hydragea,14.05,15.11,success
