timestamp,island_id,category_input,category_final,generation_time,total_time,status
2025-11-20 17:12:39,267,heritage,jage,14.06,15.26,success
2025-11-20 17:13:49,330,heritage,baekja,6.19,7.02,success
2025-11-20 17:14:06,324,heritage,jasu,30.08,31.72,success
2025-11-20 17:16:28,324,nature,canola,16.06,17.62,success
2025-11-20 17:17:28,324,art,vangogh,14.07,15.66,success
2025-11-20 17:18:54,354,heritage,traditional,10.04,11.66,success
2025-11-20 17:19:35,91,nature,cherry,10.05,11.36,success
2025-11-20 17:20:47,99,taste,wave,10.04,11.73,success
2025-11-20 17:21:58,324,taste,fantasy,36.09,37.3,success
2025-11-20 17:23:06,114,nature,camellia,18.05,19.59,success
2025-11-20 17:25:06,324,nature,autumn,10.1,11.74,success
2025-11-20 17:29:00,361,nature,winter,12.06,13.73,success
2025-11-20 17:34:18,318,nature,autumn,10.04,11.12,success
2025-11-20 17:35:37,241,heritage,sinyunbok,34.09,35.67,success
2025-11-20 17:36:45,361,heritage,baekja,10.04,10.96,success
2025-11-20 17:41:53,324,nature,cherry,10.04,11.67,success
2025-11-20 17:42:54,121,nature,canola,12.04,13.55,success
2025-11-20 17:47:17,324,nature,winter,12.04,13.73,success
2025-11-20 17:48:49,75,nature,winter,10.05,11.27,success
2025-11-20 17:49:12,324,nature,winter,10.04,11.56,success
2025-11-20 17:49:55,305,nature,camellia,14.11,15.72,success
2025-11-20 17:54:52,324,nature,autumn,10.04,11.62,success
2025-11-20 17:55:12,269,nature,autumn,10.04,11.64,success
2025-11-20 17:55:38,112,nature,camellia,14.05,15.7,success
2025-11-20 17:56:22,114,nature,cherry,10.04,11.89,success
2025-11-20 17:56:46,112,nature,cherry,10.05,11.65,success
2025-11-20 17:57:16,241,nature,winter,12.05,13.65,success
2025-11-20 17:57:37,361,nature,winter,10.04,11.77,success
2025-11-21 09:11:04,44,nature,cherry,20.09,21.81,success
2025-11-21 09:21:42,222,nature,canola,12.07,13.66,success
2025-11-21 09:22:12,25,nature,autumn,10.07,11.63,success
2025-11-21 09:27:36,330,nature,camellia,16.07,17.75,success
2025-11-21 09:29:43,44,nature,camellia,14.11,15.75,success
2025-11-21 09:31:25,41,nature,camellia,16.07,17.73,success
2025-11-21 09:31:53,44,nature,cherry,10.06,11.7,success
2025-11-21 09:32:49,26,nature,canola,12.05,13.61,success
2025-11-21 09:33:12,222,nature,cherry,10.07,11.72,success
2025-11-21 09:34:29,65,nature,canola,12.06,13.66,success
2025-11-21 09:35:28,17,nature,winter,14.07,15.66,success
2025-11-21 09:41:44,148,cherry,cherry,12.05,13.78,success
2025-11-21 09:42:23,148,cherry,cherry,10.05,11.74,success
2025-11-21 09:50:59,340,nature,hydragea,24.07,25.16,success
2025-11-21 10:06:22,91,nature,cherry,10.06,11.67,success
2025-11-21 10:08:37,361,nature,autumn,20.07,21.48,success
2025-11-21 10:14:20,77,nature,camellia,30.09,31.79,success
2025-11-21 10:20:12,44,nature,autumn,10.06,11.76,success
2025-11-21 10:20:46,75,nature,camellia,26.08,27.75,success
2025-11-21 10:21:33,44,nature,autumn,18.08,19.72,success
2025-11-21 10:22:18,44,nature,autumn,18.06,19.62,success
2025-11-21 10:22:52,44,nature,camellia,26.09,27.68,success
2025-11-21 10:23:37,47,nature,camellia,26.08,27.64,success
2025-11-21 10:31:31,135,nature,canola,20.07,21.74,success
2025-11-21 10:32:10,350,nature,autumn,18.07,19.85,success
2025-11-21 10:57:28,222,nature,hydragea,18.06,19.1,success
2025-11-21 10:58:14,222,nature,autumn,16.07,17.65,success
2025-11-21 11:00:10,201,nature,hydragea,20.08,21.11,success
2025-11-21 11:00:52,222,nature,autumn,16.06,17.65,success
2025-11-21 11:01:46,171,nature,hydragea,16.05,17.05,success
2025-11-21 11:02:23,47,nature,canola,14.06,15.63,success
2025-11-21 11:07:13,346,nature,hydragea,20.06,21.15,success
2025-11-21 11:09:00,38,nature,camellia,22.07,23.75,success
2025-11-21 11:10:43,222,nature,autumn,20.06,21.61,success
2025-11-21 11:14:17,222,nature,camellia,18.05,19.71,success
2025-11-21 11:14:53,355,nature,canola,12.08,13.74,success
2025-11-21 11:15:23,91,nature,cherry,16.06,17.64,success
2025-11-21 11:15:59,51,nature,winter,14.05,15.71,success
2025-11-21 11:16:31,44,nature,autumn,18.06,19.68,success
2025-11-21 11:17:13,91,nature,autumn,14.07,15.74,success
2025-11-21 11:17:55,91,nature,hydragea,18.24,19.41,success
2025-11-21 11:22:43,129,cherry,cherry,12.07,14.1,success
2025-11-21 11:33:36,63,nature,cherry,16.06,17.67,success
2025-11-21 11:43:10,201,nature,winter,18.06,19.76,success
2025-11-21 11:46:32,222,nature,cherry,16.06,17.75,success
2025-11-21 11:47:31,222,nature,camellia,24.07,25.7,success
2025-11-21 11:48:18,178,nature,autumn,16.06,17.72,success
2025-11-21 11:49:06,355,nature,cherry,16.07,17.67,success
2025-11-21 11:49:40,65,nature,hydragea,20.06,21.04,success
2025-11-21 11:50:10,340,nature,canola,18.07,19.65,success
2025-11-21 11:50:44,44,nature,winter,16.06,17.64,success
2025-11-21 11:51:15,314,nature,winter,16.06,17.63,success
2025-11-21 11:51:59,314,nature,autumn,16.06,17.67,success
2025-11-21 11:54:27,330,nature,camellia,22.07,23.67,success
2025-11-21 11:55:04,315,nature,cherry,16.06,17.16,success
2025-11-21 11:56:08,330,nature,autumn,16.06,17.63,success
2025-11-21 11:56:43,112,nature,hydragea,20.06,21.06,success
2025-11-21 11:57:14,350,nature,cherry,16.2,17.84,success
2025-11-21 11:59:28,65,nature,winter,18.25,19.86,success
2025-11-21 12:00:15,330,nature,camellia,22.07,23.61,success
2025-11-21 12:01:08,330,nature,hydragea,20.06,20.97,success
