timestamp,island_id,category_input,category_final,generation_time,total_time,status
2025-11-20 09:03:52,169,heritage,sinyunbok,42.12,43.9,success
2025-11-20 09:05:48,99,nature,canola,20.08,21.71,success
2025-11-20 09:07:23,65,nature,winter,16.07,17.75,success
2025-11-20 09:08:01,320,nature,hydragea,18.06,19.17,success
2025-11-20 09:09:31,163,nature,cherry,10.23,12.03,success
2025-11-20 09:11:47,98,nature,canola,12.16,13.9,success
2025-11-20 09:13:07,222,taste,sumuk,14.06,15.62,success
2025-11-20 09:13:41,324,taste,wave,12.06,13.63,success
2025-11-20 09:14:53,361,taste,fantasy,44.12,45.9,success
2025-11-20 09:15:57,232,heritage,kimhongdo,0.02,1.9,success
2025-11-20 09:17:32,163,heritage,kimhongdo,0.02,1.99,success
2025-11-20 09:18:03,123,heritage,baekja,10.04,11.09,success
2025-11-20 09:19:40,16,heritage,jasu,28.07,31.32,success
2025-11-20 09:58:58,44,nature,winter,14.11,15.92,success
2025-11-20 10:10:25,129,nature,winter,10.09,11.73,success
2025-11-20 10:15:01,34,nature,cherry,12.07,13.74,success
2025-11-20 10:17:34,163,nature,cherry,10.04,11.64,success
2025-11-20 10:18:41,320,nature,canola,12.06,13.7,success
2025-11-20 10:22:38,112,nature,camellia,14.08,15.75,success
2025-11-20 10:30:12,218,nature,canola,12.06,13.93,success
2025-11-20 10:31:15,141,nature,winter,12.06,13.73,success
2025-11-20 10:35:29,251,nature,autumn,12.05,13.76,success
2025-11-20 10:40:09,44,nature,winter,12.07,13.72,success
2025-11-20 10:44:07,34,nature,camellia,16.07,17.75,success
2025-11-20 10:46:06,169,nature,cherry,10.05,11.72,success
2025-11-20 10:48:44,355,nature,winter,12.05,13.68,success
2025-11-20 10:50:21,201,nature,canola,14.06,15.65,success
2025-11-20 10:53:17,222,nature,cherry,10.04,11.71,success
2025-11-20 10:53:51,75,nature,hydragea,12.18,13.19,success
2025-11-20 10:57:14,68,nature,canola,12.07,13.64,success
2025-11-20 11:00:34,44,nature,camellia,16.07,17.64,success
2025-11-20 11:07:34,110,nature,autumn,10.15,11.75,success
2025-11-20 11:10:38,44,nature,canola,12.05,13.79,success
2025-11-20 11:12:12,16,,,14.06,16.9,error
2025-11-20 11:19:18,26,nature,camellia,14.12,15.84,success
2025-11-20 11:22:39,16,,,10.1,11.81,error
2025-11-20 11:23:40,44,nature,winter,12.07,13.74,success
2025-11-20 11:30:03,16,,,12.06,13.73,error
2025-11-20 11:32:57,16,nature,hydragea,14.05,15.16,success
2025-11-20 11:34:30,112,nature,canola,12.06,13.84,success
2025-11-20 11:35:47,16,nature,hydragea,14.05,15.19,success
2025-11-20 11:37:15,16,,,12.06,16.29,error
2025-11-20 11:38:18,16,,,12.07,18.9,error
2025-11-20 11:43:34,16,,,12.06,14.49,error
2025-11-20 11:45:41,16,,,16.07,18.56,error
2025-11-20 11:48:33,16,,,12.06,18.78,error
2025-11-20 11:49:38,16,nature,canola,12.06,13.68,success
2025-11-20 12:00:32,320,nature,cherry,10.04,11.69,success
2025-11-20 12:02:48,16,nature,cherry,20.08,21.77,success
2025-11-20 12:07:15,16,nature,hydragea,18.06,19.17,success
2025-11-20 12:13:42,16,hydragea,hydragea,14.07,15.23,success
2025-11-20 12:14:21,16,hydragea,hydragea,12.23,13.23,success
2025-11-20 12:32:32,16,hydragea,hydragea,12.19,13.4,success
2025-11-20 12:33:42,80,nature,winter,12.06,13.68,success
2025-11-20 12:34:33,16,nature,autumn,12.05,13.69,success
2025-11-20 12:36:36,16,nature,winter,12.06,13.67,success
2025-11-20 12:39:34,320,nature,cherry,12.05,13.71,success
2025-11-20 12:54:21,222,nature,autumn,10.05,11.71,success
2025-11-20 12:55:07,222,nature,winter,12.05,13.67,success
