timestamp,island_id,category_input,category_final,selection_type,generation_time,total_time,status
2025-11-10T10:44:53.676327,99,art,origami,RANDOM,44.26,45.98,success
2025-11-10T10:45:52.033456,70,nature,cherry,RANDOM,12.1,13.71,success
2025-11-10T10:46:25.848948,16,heritage,jasu,RANDOM,40.38,41.71,success
2025-11-10T10:47:16.433293,330,heritage,sinyunbok,RANDOM,175.0,176.62,success
2025-11-10T10:52:07.465281,311,sinyunbok,sinyunbok,SPECIFIED,26.17,27.88,success
2025-11-10T10:52:57.318567,215,jasu,jasu,SPECIFIED,32.22,33.62,success
2025-11-10T10:55:36.086995,109,jasu,jasu,SPECIFIED,18.14,19.53,success
2025-11-10T10:56:25.262062,36,sinyunbok,sinyunbok,SPECIFIED,42.25,43.98,success
2025-11-10T12:32:24.467744,222,heritage,jasu,RANDOM,36.24,37.73,success
2025-11-10T12:33:13.063976,222,heritage,traditional,RANDOM,16.16,17.76,success
2025-11-10T12:42:30.921723,50,sinyunbok,sinyunbok,SPECIFIED,38.28,40.38,success
2025-11-10T12:43:22.818397,299,heritage,traditional,RANDOM,14.1,15.78,success
2025-11-10T12:43:48.469014,94,heritage,sinyunbok,RANDOM,40.24,41.93,success
2025-11-10T12:47:55.635587,50,sinyunbok,sinyunbok,SPECIFIED,44.32,46.37,success
2025-11-10T12:48:47.716905,50,jasu,jasu,SPECIFIED,26.17,27.67,success
2025-11-10T12:51:18.054489,104,nature,winter,RANDOM,18.16,19.83,success
2025-11-10T12:51:44.908383,41,heritage,traditional,RANDOM,10.12,11.82,success
2025-11-10T12:52:04.889030,330,heritage,baekja,RANDOM,16.13,17.2,success
2025-11-10T12:53:25.674535,148,heritage,traditional,RANDOM,10.1,11.78,success
2025-11-10T12:53:45.872698,85,heritage,jasu,RANDOM,98.76,100.25,success
2025-11-10T12:56:40.723920,50,jasu,jasu,SPECIFIED,36.21,38.08,success
2025-11-10T12:57:49.272650,50,sinyunbok,sinyunbok,SPECIFIED,34.23,35.93,success
2025-11-10T12:58:27.433218,80,sinyunbok,sinyunbok,SPECIFIED,24.15,25.79,success
2025-11-10T12:58:57.957419,80,traditional,traditional,SPECIFIED,14.13,15.84,success
2025-11-10T12:59:20.173817,80,jasu,jasu,SPECIFIED,34.2,35.67,success
2025-11-10T12:59:57.347982,80,sinyunbok,sinyunbok,SPECIFIED,34.22,35.92,success
2025-11-10T14:03:15.199621,342,heritage,jasu,RANDOM,32.19,34.11,success
2025-11-10T14:05:30.970728,232,taste,sumuk,RANDOM,74.49,76.07,success
2025-11-10T14:07:16.530275,75,art,vangogh,RANDOM,14.12,15.78,success
2025-11-10T14:08:10.534642,112,taste,fantasy,RANDOM,44.26,45.94,success
2025-11-10T14:09:55.292604,50,taste,landscape,RANDOM,14.11,15.78,success
2025-11-10T14:10:21.283137,312,taste,wave,RANDOM,12.11,13.77,success
2025-11-10T14:10:42.678857,41,taste,landscape,RANDOM,10.1,11.77,success
2025-11-10T14:11:04.888161,222,taste,constellation,RANDOM,14.12,15.69,success
2025-11-10T14:11:29.864684,16,taste,wave,RANDOM,12.12,13.75,success
2025-11-10T14:11:50.266608,70,taste,landscape,RANDOM,10.09,11.72,success
2025-11-10T14:12:10.457721,330,art,dansaekhwa,RANDOM,10.09,11.57,success
2025-11-10T14:12:31.841875,330,heritage,jasu,RANDOM,32.2,34.0,success
2025-11-10T14:13:23.823578,37,heritage,traditional,RANDOM,14.12,15.72,success
2025-11-10T14:13:55.810148,4,heritage,traditional,RANDOM,10.09,11.82,success
2025-11-10T14:14:14.785365,355,art,klimt,RANDOM,30.16,31.31,success
2025-11-10T14:14:51.831889,66,nature,winter,RANDOM,14.12,15.75,success
2025-11-10T14:15:33.983561,338,nature,winter,RANDOM,10.1,11.73,success
2025-11-10T14:16:17.341944,294,nature,camellia,RANDOM,16.13,17.75,success
2025-11-10T14:17:16.165739,60,taste,landscape,RANDOM,10.08,11.35,success
2025-11-10T14:18:12.123966,135,nature,camellia,RANDOM,16.11,17.69,success
2025-11-10T14:19:09.713402,146,nature,winter,RANDOM,12.33,14.0,success
2025-11-10T14:19:49.274374,39,taste,wave,RANDOM,12.1,13.73,success
2025-11-10T14:20:18.889315,66,nature,canola,RANDOM,48.5,50.02,success
2025-11-10T14:21:34.676218,16,nature,hydragea,RANDOM,14.13,15.1,success
2025-11-10T14:22:32.433434,16,heritage,baekja,RANDOM,6.06,7.04,success
2025-11-10T14:23:09.385232,114,art,dansaekhwa,RANDOM,10.07,11.5,success
2025-11-10T14:23:46.427316,233,art,monet,RANDOM,38.22,39.76,success
2025-11-10T14:25:21.184831,129,heritage,traditional,RANDOM,14.09,15.75,success
2025-11-10T14:26:01.296506,355,nature,hydragea,RANDOM,14.09,15.13,success
